Date,NFLX,AAPL,MSFT,GOOG
10/9/2020,539.440002,114.595856,209.230057,75.761002
10/12/2020,539.809998,121.875053,214.649612,78.457497
10/13/2020,554.090027,118.642036,216.06514,78.584
10/14/2020,541.450012,118.730217,214.126083,78.403999
10/15/2020,541.940002,118.259979,212.962692,77.956497
10/16/2020,530.789978,116.604248,212.962692,78.650497
10/19/2020,530.719971,113.625946,207.688583,76.730499
10/20/2020,525.419983,115.124893,208.105438,77.796501
10/21/2020,489.049988,114.497887,208.25087,79.665497
10/22/2020,485.230011,113.40062,208.33812,80.766502
10/23/2020,488.279999,112.705032,209.637283,82.050003
10/26/2020,488.23999,112.714844,203.674759,79.522499
10/27/2020,488.929993,114.233383,206.748108,80.212997
10/28/2020,486.23999,108.94297,196.500397,75.831001
10/29/2020,504.209991,112.979347,198.478195,78.362
10/30/2020,475.73999,106.650467,196.296829,81.050499
11/2/2020,484.119995,106.562294,196.161057,81.301498
11/3/2020,487.220001,108.198387,200.136047,82.510498
11/4/2020,496.950012,112.616859,209.792389,87.456497
11/5/2020,513.76001,116.614059,216.48201,88.168503
11/6/2020,514.72998,116.481567,216.898911,88.087502
11/9/2020,470.5,114.155655,211.731415,88.150002
11/10/2020,480.23999,113.812172,204.576416,87.019501
11/11/2020,490.76001,117.26667,209.947525,87.635498
11/12/2020,486.769989,116.991875,208.871353,87.491997
11/13/2020,482.839996,117.040955,209.908737,88.850998
11/16/2020,479.100006,118.061607,210.606766,89.069
11/17/2020,480.630005,117.168541,207.921219,88.5075
11/18/2020,481.790009,115.833839,205.180069,87.338997
11/19/2020,484.670013,116.432487,206.48262,88.195999
11/20/2020,488.23999,115.156677,204.509354,87.109497
11/23/2020,476.619995,111.731621,204.237167,86.742996
11/24/2020,482.880005,113.027039,207.882355,88.444
11/25/2020,485,113.871063,207.892059,88.571503
11/27/2020,491.359985,114.420647,209.214035,89.6595
11/30/2020,490.700012,116.834869,208.086487,88.037003
12/1/2020,504.579987,120.436584,210.166672,89.904999
12/2/2020,503.380005,120.789886,209.350159,91.397499
12/3/2020,497.519989,120.652489,208.251724,91.338501
12/4/2020,498.309998,119.975334,208.368393,91.399498
12/7/2020,515.780029,121.447426,208.300323,90.973999
12/8/2020,512.659973,122.065704,209.97226,90.927498
12/9/2020,493.600006,119.514069,205.879929,89.206497
12/10/2020,501.089996,120.946899,204.635727,88.766502
12/11/2020,503.220001,120.132339,207.299133,89.088501
12/14/2020,522.419983,119.514069,208.212845,88.002998
12/15/2020,519.780029,125.500549,208.144821,88.388496
12/16/2020,524.830017,125.43187,213.150848,88.150002
12/17/2020,532.900024,126.305313,213.286942,87.394997
12/18/2020,534.450012,124.303268,212.480148,86.550499
12/21/2020,528.909973,125.844055,216.368332,86.968498
12/22/2020,527.330017,129.426132,217.680634,86.175003
12/23/2020,514.47998,128.52327,214.842224,86.619003
12/24/2020,513.969971,129.51445,216.523849,86.942497
12/28/2020,519.119995,134.146652,218.672134,88.804497
12/29/2020,530.869995,132.360535,217.884766,87.935997
12/30/2020,524.590027,131.231918,215.483749,86.975998
12/31/2020,540.72998,130.221115,216.203094,87.594002
1/4/2021,522.859985,127.002083,211.605316,86.412003
1/5/2021,520.799988,128.572311,211.809433,87.045998
1/6/2021,500.48999,124.244392,206.317368,86.764503
1/7/2021,508.890015,128.484024,212.188568,89.362503
1/8/2021,510.399994,129.592972,213.481354,90.360497
1/11/2021,499.100006,126.580093,211.410904,88.335999
1/12/2021,494.25,126.403465,208.92247,87.327499
1/13/2021,507.790009,128.454529,210.293045,87.720001
1/14/2021,500.859985,126.511436,207.065842,87.009003
1/15/2021,497.980011,124.774338,206.706146,86.809502
1/19/2021,501.769989,125.451485,210.390228,89.542999
1/20/2021,586.340027,129.573318,218.069427,94.345001
1/21/2021,579.840027,134.323303,218.681824,94.5625
1/22/2021,565.169983,136.482376,219.63443,95.052498
1/25/2021,556.780029,140.260712,223.114365,94.970001
1/26/2021,561.929993,140.496231,225.836105,95.862
1/27/2021,523.280029,139.416748,226.390152,91.539497
1/28/2021,538.599976,134.5392,232.251617,93.155502
1/29/2021,532.390015,129.504654,225.476486,91.787003
2/1/2021,539.039978,131.644104,232.951492,95.067497
2/2/2021,548.159973,132.478287,232.815399,96.375504
2/3/2021,539.450012,131.447815,236.20784,103.503502
2/4/2021,552.159973,134.833618,235.245529,103.1185
2/5/2021,550.789978,134.415878,235.430222,104.900002
2/8/2021,547.919983,134.563339,235.692688,104.6455
2/9/2021,559.070007,133.678726,236.956345,104.175499
2/10/2021,563.590027,133.069366,236.032883,104.768997
2/11/2021,557.590027,132.813858,237.656235,104.794502
2/12/2021,556.52002,133.049744,238.142212,105.205498
2/16/2021,557.280029,130.907104,236.888306,106.095001
2/17/2021,551.340027,128.597366,237.921036,106.415497
2/18/2021,548.219971,127.486748,237.521561,105.860001
2/19/2021,540.219971,127.643982,234.774094,105.056999
2/22/2021,533.780029,123.840332,228.480164,103.244003
2/23/2021,546.150024,123.702736,227.272079,103.542999
2/24/2021,553.409973,123.201477,228.519165,104.758499
2/25/2021,546.700012,118.916206,223.102158,101.568001
2/26/2021,538.849976,119.181572,226.404938,101.843002
3/1/2021,550.640015,125.599655,230.847702,104.0755
3/2/2021,547.820007,122.975418,227.856659,103.792
3/3/2021,520.700012,119.967857,221.708893,101.335503
3/4/2021,511.290009,118.07093,220.900208,102.454498
3/5/2021,516.390015,119.338829,225.64502,105.427002
3/8/2021,493.329987,114.36557,221.543243,101.208504
3/9/2021,506.440002,119.014496,227.768967,102.635002
3/10/2021,504.540009,117.923515,226.443909,102.751503
3/11/2021,523.059998,119.869568,231.032806,105.738503
3/12/2021,518.02002,118.955521,229.688278,103.096001
3/15/2021,520.25,121.864777,228.772476,103.324501
3/16/2021,524.030029,123.417694,231.5979,104.625999
3/17/2021,524.440002,122.621597,230.945114,104.554001
3/18/2021,504.790009,118.464073,224.787628,101.810997
3/19/2021,512.179993,117.933342,224.427185,102.160004
3/22/2021,523.109985,121.275063,229.922134,101.929497
3/23/2021,535.090027,120.439636,231.471298,102.648003
3/24/2021,520.809998,118.031624,229.405746,102.252998
3/25/2021,502.859985,118.523056,226.365982,102.218002
3/26/2021,508.049988,119.132431,230.399536,101.777496
3/29/2021,513.950012,119.309357,229.191437,102.797501
3/30/2021,513.390015,117.844894,225.888596,102.777
3/31/2021,521.659973,120.056328,229.707779,103.431503
